Cow,Lact,dim_mean,milk_mean,milk_sd,clinical
260,2,128.84,93.93,29.05,1
261,2,64.5,73.9,13.04,0
262,2,116.77,109.78,14.34,1
263,2,124.64,110.76,11.46,0
264,2,93.86,129.45,16.64,0
265,2,106.33,125.03,22.84,0
266,2,104.5,100.56,14.06,1
267,2,31.02,89.57,7.86,1
268,2,129.9,67.64,14.32,0
269,2,98.5,119.8,22.14,1
270,2,71.57,105.84,13.65,0
271,2,91.5,106.55,11.41,0
272,2,122.65,131.42,19.3,1
273,2,89.96,119.93,22.41,0
274,2,59.65,117.42,12.81,0
275,2,68.62,118.25,22.93,0
276,2,119.53,114.88,15.78,1
277,2,26.5,110.85,21.35,0
278,2,80.16,125.17,15.06,0
279,2,107,107.73,19.58,1
280,4,59.69,99.28,13.36,0
281,2,58.06,136.81,18.65,0
282,2,66,136.5,13.68,1
283,2,50.45,99.02,13.07,0
284,2,118.67,106.86,14.43,1
285,2,74.19,112.8,14.79,0
286,2,71.5,101.89,12.01,0
287,4,22.5,135.22,24.42,1
288,2,114.85,100.76,14.21,1
289,2,57.44,107.98,10.33,0
290,2,57,143.65,14.58,1
291,2,65.29,129.6,17.36,0
292,2,83.16,142.01,18.7,1
293,2,88.5,101.65,14.69,0
294,2,85.62,108.17,16.14,0
295,2,118.83,107.64,15.47,0
296,2,48.88,104.13,9.57,0
297,2,86.55,146.56,16.62,0
298,2,80.5,120.6,15.12,1
299,2,102,133.61,20.01,0
300,2,59.68,84.46,12.14,0
301,2,98,100.06,19.1,1
302,2,94.93,134.28,17.56,1
303,2,96.8,127.62,22.35,1
304,2,111.5,88.79,12.49,1
305,2,98.5,138.67,15.87,1
306,2,118.53,107.48,18.27,1
307,2,112.71,113.07,14.18,1
308,2,74,120.61,16.54,1
309,2,110.86,114.87,18.28,1
310,2,119.92,92.31,14.4,1
311,2,101.46,117.6,16.64,1
312,2,77.54,127.62,20.47,1
313,2,106.5,114.06,14.3,1
314,2,105.74,104.75,20.18,0
315,2,55.53,112.88,16.73,0
316,2,104.07,121.14,17.98,0
317,2,110.5,97.6,13.77,0
318,2,52.5,145.69,16.93,1
319,2,12,103.48,9.88,0
320,2,86.5,114.08,15.8,1
321,2,128,111.32,15.15,1
322,2,49.5,120.87,12.61,0
323,2,69.65,137.23,15.74,0
324,2,106,115.49,20.02,1
325,2,86.63,116.98,14.5,0
326,2,65.5,108.84,11.67,1
327,2,88.32,107.43,11.16,0
328,2,77,111.76,12.77,0
329,2,96,107.62,21.67,0
330,2,8.5,111.58,11.8,0
331,2,11.5,99.17,9.88,0
332,2,60.18,109.4,20.11,1
333,2,105.26,106.77,25.98,0
334,2,87,115.9,12.88,0
335,2,76.39,97.56,15.26,0
336,2,111,114.3,14.94,0
337,2,71.61,118.16,13.6,0
338,2,96,90.29,16.8,1
339,2,100,100.69,12.62,0
340,2,60.11,104.72,11.41,1
341,2,115.38,99.6,11.48,0
342,2,68.5,105.13,14.51,0
343,2,101.31,107.18,10.78,0
344,2,90,132.13,16.05,0
345,2,80.04,95.78,12.04,0
346,2,95.84,98.18,17.6,1
347,2,98.32,113.51,21.01,1
348,2,15.5,113.97,15.4,0
349,3,118,120.68,24.05,0
350,2,93.5,102.22,13.57,1
351,2,107.87,108.4,17.37,0
352,2,50,116.48,14.71,1
353,2,90.89,119.82,16.08,0
354,2,70.27,120.58,17.64,0
355,2,82.99,103.58,9.42,1
356,2,86.95,91.56,18.49,0
357,2,80,86.11,12.03,0
358,2,35.5,105.06,17.43,1
359,2,36.5,113.76,14.48,1
360,2,79.88,117.35,12.02,0
361,4,40,152.4,18.07,0
362,2,61.5,103.31,11.68,0
363,2,97.41,81.72,15.43,0
364,2,96,138.53,18.94,0
365,2,62.65,114.32,12.56,0
366,2,95,110.82,11.03,0
367,2,35.5,116.7,12.84,0
368,2,93.93,98.26,9.37,1
369,2,12,131.96,7.97,0
370,2,98.95,102.22,12.42,0
371,2,13,121.74,11.45,0
372,2,56.5,126.82,11.11,1
373,2,79.51,75.95,9.08,0
374,4,11,110.2,12.62,1
375,4,51.5,129.81,18.3,1
376,3,137.2,120.29,19.61,1
377,3,127.5,127.17,20.9,1
378,4,12.5,105.09,11.79,1
379,3,159.86,127.5,25.29,0
380,4,9,109.54,6.57,0
381,4,27,169.38,24.88,0
382,4,47,143.5,16.17,0
383,3,143.53,118.15,19.42,0
384,3,170.18,115.37,25.36,0
385,4,32,134.5,16.07,1
386,4,11.5,101.52,13.42,1
387,2,17,108,10.75,0
388,2,12.5,104.17,13.67,0
389,2,85.57,120.68,16.18,1
390,2,80.16,115.66,15.55,0
391,2,47.94,109.85,11.8,0
392,2,77.68,90.87,12.61,0
393,2,97.74,96.27,18.99,1
394,2,10,95.67,5.27,1
395,2,80.18,107.83,14.93,1
396,2,19.5,124.58,14.31,1
397,2,102,85.59,11.58,1
398,2,12.5,107.25,13.48,0
399,2,65.5,119.35,12.54,1
400,2,78.67,129.9,23.98,0
401,2,32.5,128.42,11.28,0
402,2,66.31,106.2,11.57,1
403,2,53.37,126.63,12.02,0
404,2,85.47,126.44,17.42,1
405,2,50.5,133.77,17.41,1
